Original Stories . . . a Breath of Fresh Air,https://goodreads.com/list/show/7057.Original_Stories_a_Breath_of_Fresh_Air,"8,469 books
    
    10,251 voters"
"Best M/F Erotic Romance like Fifty Shades of Grey  (not paranormal, high school, gay or sci-fi)",https://goodreads.com/list/show/18698.Best_M_F_Erotic_Romance_like_Fifty_Shades_of_Grey_not_paranormal_high_school_gay_or_sci_fi_,"3,244 books
    
    10,193 voters"
The MOVIE was BETTER than the BOOK,https://goodreads.com/list/show/104.The_MOVIE_was_BETTER_than_the_BOOK,"1,117 books
    
    10,059 voters"
What Book Got You Hooked?,https://goodreads.com/list/show/651.What_Book_Got_You_Hooked_,"3,685 books
    
    9,887 voters"
Best Paranormal & Fantasy Romances,https://goodreads.com/list/show/225.Best_Paranormal_Fantasy_Romances,"5,156 books
    
    9,886 voters"
Best Fantasy Books of the 21st Century,https://goodreads.com/list/show/88.Best_Fantasy_Books_of_the_21st_Century,"2,996 books
    
    9,859 voters"
"Best ADULT Urban Fantasy, Fantasy and Paranormal Romance",https://goodreads.com/list/show/9088.Best_ADULT_Urban_Fantasy_Fantasy_and_Paranormal_Romance,"4,103 books
    
    9,766 voters"
YA Novels of 2016,https://goodreads.com/list/show/72299.YA_Novels_of_2016,"1,138 books
    
    9,713 voters"
Most anticipated books of 2014,https://goodreads.com/list/show/44244.Most_anticipated_books_of_2014,"2,185 books
    
    9,593 voters"
Title,List,Listfulldetails
Best Love Stories,https://goodreads.com/list/show/550.Best_Love_Stories_,"4,871 books
    
    9,531 voters"
Best Books of 2012,https://goodreads.com/list/show/15604.Best_Books_of_2012,"3,443 books
    
    9,466 voters"
Young Adult Romance,https://goodreads.com/list/show/1333.Young_Adult_Romance,"3,726 books
    
    9,343 voters"
Books that Blew Me Away and that I Still Think About (of all types),https://goodreads.com/list/show/2386.Books_that_Blew_Me_Away_and_that_I_Still_Think_About_of_all_types_,"8,926 books
    
    9,313 voters"
The Most Disturbing Books Ever Written,https://goodreads.com/list/show/2455.The_Most_Disturbing_Books_Ever_Written,"2,962 books
    
    9,209 voters"
YA Novels of 2014,https://goodreads.com/list/show/8794.YA_Novels_of_2014,"1,508 books
    
    9,065 voters"
Best Kick-Ass Female Characters From YA and Children's Fantasy and Science Fiction,https://goodreads.com/list/show/147.Best_Kick_Ass_Female_Characters_From_YA_and_Children_s_Fantasy_and_Science_Fiction,"2,836 books
    
    9,058 voters"
The Best Fairytales and Retellings,https://goodreads.com/list/show/96.The_Best_Fairytales_and_Retellings,"2,616 books
    
    9,020 voters"
